Profile Profile,Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Second Country Second Country,Height Height,Weight Weight,Birthplace Birthplace,Other Group Other Group,Former Group Former Group,Gender Gender,Position Position,Instagram Instagram,Twitter Twitter
Profile,Yubin,Bae Yubin,???,??,35682,Oh My Girl,South Korea,,161,49,Chuncheon,,,F,,,
Profile,Arin,Choi Yewon,???,??,36329,Oh My Girl,South Korea,,163,47,Busan,,,F,,,
Profile,Babysoul,Lee Soojung,???,?????,33791,Lovelyz,South Korea,,158,41,Gwangju,,,F,Leader,,
Profile,Jiae,Yoo Jiae,???,??,34110,Lovelyz,South Korea,,163,43,Seoul,,,F,,,
Profile,Jisoo,Seo Jisoo,???,??,34376,Lovelyz,South Korea,,165,46,Incheon,,,F,,,
Profile,Mijoo,Lee Mijoo,???,??,34600,Lovelyz,South Korea,,167,47,Okcheon,,,F,,,
Profile,Kei,Kim Jiyeon,???,??,34778,Lovelyz,South Korea,,162,47,Incheon,,,F,,,
Profile,JIN,Park Myungeun,???,?,35228,Lovelyz,South Korea,,165,47,Busan,,,F,,,
Profile,Sujeong,Ryu Sujeong,???,??,35753,Lovelyz,South Korea,,168,48,Daejeon,,,F,,,
Profile,Yein,Jeong Yein,???,??,35950,Lovelyz,South Korea,,166,0,Incheon,,,F,,,
Profile,Yujeong,Kim Yujeong,???,??,33648,,South Korea,,161,42,Seoul,,LABOUM,F,Leader,,
Profile,Soyeon,Jung Soyeon,???,??,34458,LABOUM,South Korea,,161,44,Gwangju,,,F,Main Vocalist,,
Profile,ZN,Bae Jinye,???,??,34494,LABOUM,South Korea,,169,48,Bucheon,UNI.T,,F,Main Dancer,,
Profile,Haein,Yeom Haein,???,??,34838,LABOUM,South Korea,,162,45,Ojeonggu,,,F,Lead Dancer,,
Profile,Solbin,Ahn Solbin,???,??,35661,LABOUM,South Korea,,169,52,Ojeonggu,,,F,Visual,,
Profile,Yulhee,Kim Yulhee,???,??,35761,,South Korea,,166,52,Bucheon,,LABOUM,F,Main Rapper,,
Profile,Boram,Jeon Boram,???,??,31493,,South Korea,,155,45,Seoul,,T-ara,F,,bo_ram_0322,
Profile,Qri,Lee Jihyun,???,??,31758,T-ara,South Korea,,162,44,Goyang,,,F,,qtfreet,
Profile,Soyeon,Park Soyeon,???,??,32055,,South Korea,,163,46,Andong,,T-ara,F,,melodysoyani,
Profile,Eunjung,Ham Eunjung,???,??,32489,T-ara,South Korea,,167,47,Seoul,,,F,,sweetgirl_eunjung,
Profile,Hyomin,Park Sunyoung,???,??,32658,T-ara,South Korea,,167,43,Busan,,,F,,hyominnn,
Profile,Jiyeon,Park Jiyeon,???,??,34127,T-ara,South Korea,,167,45,Seoul,,,F,,jiyeon2__,
Profile,Solar,Kim Yongsun,???,??,33290,Mamamoo,South Korea,,163,43,Seoul,,,F,Leader,,
,Moonbyul,Moon Byulyi,???,??,33960,Mamamoo,South Korea,,165,45,Bucheon,,,F,Main Rapper,,
,Wheein,Jung Wheein,???,??,34806,Mamamoo,South Korea,,162,43,Jeonju,,,F,Lead Vocalist,,
,Hwasa,Ahn Hyejin,???,??,34903,Mamamoo,South Korea,,162,44,Jeonju,,,F,Lead Vocalist,,
Profile,Yeoeun,Jung Jieun,???,??,32898,MELODYDAY,South Korea,,169,0,,,,F,Leader,yeosilver,
Profile,Yein,Ahn Yein,???,??,34823,MELODYDAY,South Korea,,168,0,,,,F,Lead Vocalist,yen_thankful954,
Profile,Chahee,Park Sooyoung,???,??,35148,MELODYDAY,South Korea,,167,0,,,,F,Sub Vocalist,hichaheebye,
Profile,Yoomin,Na Yoomin,???,??,34210,MELODYDAY,South Korea,,165,0,,,,F,Main Rapper,im.umin,
Profile,Elkie,Chong Ting Yan,???,??,36101,,Hong Kong,,163,45,Hong Kong,,CLC,F,,,
Profile,Eunbin,Kwon Eunbin,???,??,36531,CLC,South Korea,,167,48,Seoul,,,F,,,
Profile,Jisoo,Kim Jisoo,???,??,34702,BLACKPINK,South Korea,,162,45,Seoul,,,F,,,
Profile,Jennie,Kim Jennie,???,??,35080,BLACKPINK,South Korea,,163,50,Anyang,,,F,,,
Profile,Rosé,Roseanne Park,??? ?,??,35472,BLACKPINK,South Korea,,167,0,Auckland,,,F,,,
Profile,Lisa,Pranpriya Manoban,????? ???,??,35516,BLACKPINK,Thailand,,170,46,Bangkok,,,F,,,
,Hyeji,Jeong Hyeji,???,??,33696,4TEN,South Korea,,0,0,Seoul,,,F,,,
,Heeo,Gwak Heeoh,???,??,34456,4TEN,South Korea,,0,0,,,,F,,,
,Yoon,Heo Yoon,??,?,34600,4TEN,South Korea,,0,0,,,,F,,,
,Hyejin,Baek Hyejin,???,??,35390,4TEN,South Korea,,0,0,Sacheon,,,F,,,
,Uee,Kim Yujin,???,??,32242,,South Korea,,0,0,Daegu,,After School,F,,,
,Raina,Oh Hyerin,???,???,32635,After School,South Korea,,0,0,Ulsan,Orange Caramel,,F,,raina_57,
,Nana,Im Jinah,???,??,33495,After School,South Korea,,0,0,Cheongju,Orange Caramel,,F,,jin_a_nana,
,Lizzy,Park Sooyoung,???,??,33816,After School,South Korea,,0,0,Busan,Orange Caramel,,F,,luvlyzzy,
,E-Young,Noh Yiyoung,???,??,33832,After School,South Korea,,0,0,Chuncheon,,,F,,e_young0816,
,Kaeun,Lee Kaeun,???,??,34566,After School,South Korea,,0,0,Seoul,,,F,,realkkaaanngg,
,Kahi,Park Jiyoung,???,??,29580,,South Korea,,0,0,Daegu,,After School,F,,imisskahi,
,Jooyeon,Lee Jooyeon,???,??,31855,,South Korea,,0,0,Seoul,,After School,F,,jupppal,
,Jungah,Kim Jungah,???,??,30530,,South Korea,,0,0,Incheon,,After School,F,,i_am_jjunga,
,Soyoung,Yoo Soyoung,???,??,35153,,South Korea,,0,0,Seoul,,After School,F,,ssossolovely,
,Bekah,Rebecca Kim,????,??,32731,,South Korea,USA,0,0,Honolulu,,After School,F,,,
Profile,Chaewon,Kim Chaewon,???,??,35742,APRIL,South Korea,,0,0,Gongju,,,F,,,
Profile,Naeun,Lee Naeun,???,??,36285,APRIL,South Korea,,0,0,Daejeon,,,F,,,
Profile,Yena,Yang Yena,???,??,36668,APRIL,South Korea,,0,0,Daegu,,,F,,,
Profile,Jinsol,Lee Jinsol,???,??,37229,APRIL,South Korea,,0,0,Andong,,,F,,,
,Hyunjoo,Lee Hyunjoo,???,??,35831,UNI.T,South Korea,,0,0,Seoul,,APRIL,F,,,
,Monika,Kang Yeh,??,???,33379,BADKIZ,South Korea,,0,0,Seoul,,,F,,maygirl_nika,
,LuA,Jo Hankyeung,???,??,33495,BADKIZ,South Korea,,0,0,Busan,,,F,,,
,K.Me,Na Miri,???,???,33704,BADKIZ,South Korea,,0,0,Yeosu,,,F,,k.me93,
,Somin,Jang Somin,???,??,34283,BADKIZ,South Korea,,0,0,Gwangmyeon,,,F,,somin.92,
,U-Si,Yoo Jiyeon,???,??,35747,BADKIZ,South Korea,,0,0,Iksan,,,F,,_u_si,
,Gabin,Kim Gabin,???,??,32769,Blady,South Korea,,0,0,Busan,,,F,,_kimgabin,
,Dayoung,Kim Dayoung,???,??,33271,Blady,South Korea,,0,0,Jeonju,,,F,,loloola22_,
,Giru,Park Giru,???,??,33464,Blady,South Korea,,0,0,Incheon,,,F,,giru_p,
,Tina,Christine Joy Park,???? ?? ?,??,34578,Blady,USA,South Korea,0,0,Los Angeles,,,F,,nuhmootina,
,Yeeun,Hwang Yeeun,???,??,35442,Blady,South Korea,,0,0,Gimhae,,,F,,yeeuneeeee_,
Profile,Minyoung,Kim Minyeong,???,??,33128,Brave Girls,South Korea,,0,0,Seongnam,,,F,,,
Profile,Yujeong,Nam Yujeong,???,??,33360,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
Profile,Eunji,Hong Eunji,???,??,33804,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
,Yoojin,Jang Yoojin,???,??,33861,,South Korea,,0,0,,,Brave Girls,F,,yoojinbabe,
Profile,Yuna,Lee Yuna,???,??,34065,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
,Hyeran,Noh Hyeran,???,??,34068,,South Korea,,0,0,,,Brave Girls,F,,hrannnoh,
Profile,Hayun,Lee Hayun,???,??,34575,,South Korea,,0,0,Changwon,,Brave Girls,F,,hayoon.y,
Profile,Bona,Kim Jiyeon,???,??,34930,Cosmic Girls,South Korea,,163,0,Daegu,WJSN The Black,,F,,,
Profile,Cheng Xiao,Cheng Xiao,???,??,35991,Cosmic Girls,China,,167,0,Shenzhen,,,F,,chengxiao_0715,
Profile,Dayoung,Im Dayoung,???,??,36294,Cosmic Girls,South Korea,,161,0,Jeju,WJSN Chocome,,F,,,
Profile,Xuanyi,Wu Xuanyi,????,??,34725,Cosmic Girls,China,,166,0,Hainan,,,F,,,
Profile,Eunseo,Son Juyeon,???,??,35942,Cosmic Girls,South Korea,,167,0,Incheon,WJSN The Black,,F,,_eunseo_v,
Profile,Yeoreum,Lee Jinsook,???,??,36170,Cosmic Girls,South Korea,,161,0,Seoul,WJSN Chocome,,F,,,
Profile,Seola,Kim Hyunjung,???,??,34692,Cosmic Girls,South Korea,,165,0,Seoul,"WJMK, WJSN The Black",,F,,seola_s,
Profile,Exy,Chu Sojung,???,??,35009,Cosmic Girls,South Korea,,166,0,Busan,WJSN The Black,,F,Leader,exy_s2,
Profile,Soobin,Park Soobin,???,??,35322,Cosmic Girls,South Korea,,159,0,Seoul,WJSN Chocome,,F,,,
Profile,Luda,Lee Luda,???,??,35495,Cosmic Girls,South Korea,,157,0,Seoul,"WJSN Chocome, WJMK",,F,,,
Profile,Dawon,Nam Dawon,???,??,35505,Cosmic Girls,South Korea,,167,0,Seoul,,,F,,,
Profile,Meiqi,Meng Meiqi,????,??,36083,Cosmic Girls,China,,164,0,Luoyang,,,F,,,
Profile,Yeonjung,Yu Yeonjung,???,??,36375,Cosmic Girls,South Korea,,167,52,Gwangmyeong,,I.O.I,F,,uyj_s,
,Geummi,Baek Boram,???,??,32312,Crayon Pop,South Korea,,165,0,Seoul,,,F,Leader,g.mi,
,Ellin,Kim Minyoung,???,??,32965,Crayon Pop,South Korea,,165,44,Daegu,,,F,,hiellin,
,Choa,Heo Minjin,???,??,33066,Crayon Pop,South Korea,,161,0,Seoul,,,F,,,
,Way,Heo Minsun,???,??,33066,Crayon Pop,South Korea,,161,0,Seoul,,,F,,baysunny,
,Soyul,Park Hyekyeong,???,??,33373,Crayon Pop,South Korea,,160,0,Seoul,,,F,,,
,Hanna,Shin Jiyeon,???,??,34384,MIXX,South Korea,,170,48,,,,F,Leader,,
,Henny,Kang Gayoung,???,??,34669,,South Korea,,168,50,,,MIXX,F,,,
